Date,Product Adds To Cart,Cart-to-Detail Rate,Unique Purchases,Product Checkouts,Buy-to-Detail Rate
01/01/2021,"7,671",16.43%,"1,907","32,100",4.08%
02/01/2021,"5,827",16.89%,"1,645","24,764",4.77%
03/01/2021,"7,905",14.99%,"2,246","28,748",4.26%
04/01/2021,"4,725",15.92%,"1,400","19,793",4.72%
05/01/2021,"4,114",15.58%,966,"19,071",3.66%
06/01/2021,"13,083",21.86%,"2,959","53,302",4.95%
07/01/2021,"5,637",18.34%,"1,424","26,257",4.63%
08/01/2021,"5,511",12.13%,"1,328","24,112",2.92%
09/01/2021,"4,094",14.95%,"1,164","20,265",4.25%
10/01/2021,"6,525",15.00%,"1,845","24,114",4.24%
11/01/2021,"4,222",16.30%,"1,149","18,778",4.44%
12/01/2021,"4,362",17.80%,"1,096","18,002",4.47%
13/01/2021,"7,710",20.01%,"1,830","28,038",4.75%
14/01/2021,"4,386",17.30%,"1,130","19,251",4.46%
15/01/2021,"5,502",14.98%,"1,191","22,756",3.24%
16/01/2021,"4,446",16.38%,"1,139","20,492",4.20%
17/01/2021,"7,513",16.56%,"1,841","27,416",4.06%
18/01/2021,"4,684",17.63%,"1,235","20,916",4.65%
19/01/2021,"4,817",19.61%,"1,438","18,660",5.85%
20/01/2021,"10,040",21.40%,"2,487","42,784",5.30%
21/01/2021,"6,120",21.82%,"1,712","29,585",6.10%
22/01/2021,"6,665",18.44%,"1,770","32,513",4.90%
23/01/2021,"5,581",19.70%,"1,663","28,889",5.87%
24/01/2021,"12,847",23.09%,"3,539","50,827",6.36%
25/01/2021,"6,406",21.43%,"1,889","29,159",6.32%
26/01/2021,"5,587",21.53%,"1,653","22,297",6.37%
27/01/2021,"7,972",21.77%,"2,249","31,721",6.14%
28/01/2021,"5,560",21.79%,"1,631","23,266",6.39%
29/01/2021,"7,224",21.84%,"2,174","31,708",6.57%
30/01/2021,"6,588",21.65%,"2,022","33,050",6.64%
31/01/2021,"12,813",23.50%,"4,033","52,807",7.40%
01/02/2021,"6,375",21.57%,"1,953","28,678",6.61%
02/02/2021,"5,144",21.38%,"1,628","21,838",6.77%
03/02/2021,"8,726",20.57%,"2,627","33,915",6.19%
04/02/2021,"5,699",21.35%,"1,846","24,370",6.91%
05/02/2021,"8,410",21.66%,"2,640","33,798",6.80%
06/02/2021,"5,650",20.01%,"1,827","27,282",6.47%
07/02/2021,"7,230",19.61%,"1,888","28,761",5.12%
08/02/2021,"3,784",18.70%,"1,162","14,629",5.74%
09/02/2021,"3,413",18.71%,949,"12,611",5.20%
10/02/2021,"4,882",18.37%,"1,293","19,142",4.86%
11/02/2021,"3,278",18.49%,962,"14,680",5.43%
12/02/2021,"2,896",17.70%,806,"10,129",4.93%
13/02/2021,"3,261",18.23%,991,"12,316",5.54%
14/02/2021,"5,162",18.04%,"1,572","18,216",5.49%
15/02/2021,"3,698",18.48%,"1,205","13,462",6.02%
16/02/2021,"3,257",18.22%,"1,044","13,102",5.84%
17/02/2021,"5,046",20.36%,"1,407","20,562",5.68%
18/02/2021,"3,422",18.50%,"1,093","14,923",5.91%
19/02/2021,"2,920",16.29%,911,"11,324",5.08%
20/02/2021,"3,208",17.27%,962,"13,174",5.18%
21/02/2021,"4,721",16.49%,"1,387","16,951",4.85%
22/02/2021,"3,844",18.62%,"1,186","14,541",5.75%
23/02/2021,"3,847",19.36%,"1,165","15,859",5.86%
24/02/2021,"4,464",16.80%,"1,281","14,695",4.82%
25/02/2021,"3,771",18.92%,"1,124","14,666",5.64%
26/02/2021,"4,142",19.24%,"1,146","15,250",5.32%
